CODIGO_LOJA;SKU;QTDE_TOTAL
300936;A0164801510003;30
301023;A0164801510003;30
301180;A0164801510003;30
301181;A0164801510003;30
301182;A0164801510003;30
301763;A0164801510003;30
43637;A0164801510003;30
46677;A0164801510003;30
47137;A0164801510003;30
47157;A0164801510003;30
47177;A0164801510003;30
53518;A0164801510003;30
54658;A0164801510003;30
54981;A0164801510003;30
59458;A0164801510003;30
60318;A0164801510003;30
61498;A0164801510003;30
61499;A0164801510003;30
66299;A0164801510003;30
78798;A0164801510003;30
ELDORADO;A0164801510003;30
10067;A0164801520001;30
10122;A0164801520001;30
10225;A0164801520001;30
10397;A0164801520001;30
12792;A0164801520001;30
14148;A0164801520001;30
141682;A0164801520001;30
151742;A0164801520001;30
165122;A0164801520001;30
165142;A0164801520001;30
165163;A0164801520001;30
165182;A0164801520001;30
165183;A0164801520001;30
165184;A0164801520001;30
165282;A0164801520001;30
16763;A0164801520001;30
16875;A0164801520001;30
169542;A0164801520001;30
170422;A0164801520001;30
17270;A0164801520001;30
17511;A0164801520001;30
176703;A0164801520001;30
18440;A0164801520001;30
188083;A0164801520001;30
190383;A0164801520001;30
190403;A0164801520001;30
19193;A0164801520001;30
20917;A0164801520001;30
29637;A0164801520001;30
29638;A0164801520001;30
300094;A0164801520001;30
300186;A0164801520001;30
300935;A0164801520001;30
300936;A0164801520001;30
301023;A0164801520001;30
301180;A0164801520001;30
301181;A0164801520001;30
301182;A0164801520001;30
301763;A0164801520001;30
43637;A0164801520001;30
46677;A0164801520001;30
47137;A0164801520001;30
47157;A0164801520001;30
47177;A0164801520001;30
53518;A0164801520001;30
54658;A0164801520001;30
54981;A0164801520001;30
59458;A0164801520001;30
60318;A0164801520001;30
61498;A0164801520001;30
61499;A0164801520001;30
66299;A0164801520001;30
78798;A0164801520001;30
ELDORADO;A0164801520001;30
10067;A0164801520002;30
10122;A0164801520002;30
10225;A0164801520002;30
10397;A0164801520002;30
12792;A0164801520002;30
14148;A0164801520002;30
141682;A0164801520002;30
151742;A0164801520002;30
165122;A0164801520002;30
165142;A0164801520002;30
165163;A0164801520002;30
165182;A0164801520002;30
165183;A0164801520002;30
165184;A0164801520002;30
165282;A0164801520002;30
16763;A0164801520002;30
16875;A0164801520002;30
169542;A0164801520002;30
170422;A0164801520002;30
17270;A0164801520002;30
17511;A0164801520002;30
176703;A0164801520002;30
18440;A0164801520002;30
188083;A0164801520002;30
190383;A0164801520002;30
190403;A0164801520002;30
19193;A0164801520002;30
20917;A0164801520002;30
29637;A0164801520002;30
29638;A0164801520002;30
300094;A0164801520002;30
300186;A0164801520002;30
300935;A0164801520002;30
300936;A0164801520002;30
301023;A0164801520002;30
301180;A0164801520002;30
301181;A0164801520002;30
301182;A0164801520002;30
301763;A0164801520002;30
43637;A0164801520002;30
46677;A0164801520002;30
47137;A0164801520002;30
47157;A0164801520002;30
47177;A0164801520002;30
53518;A0164801520002;30
54658;A0164801520002;30
54981;A0164801520002;30
59458;A0164801520002;30
60318;A0164801520002;30
61498;A0164801520002;30
61499;A0164801520002;30
66299;A0164801520002;30
78798;A0164801520002;30
ELDORADO;A0164801520002;30
10067;A0164801530001;30
10122;A0164801530001;30
10225;A0164801530001;30
10397;A0164801530001;30
12792;A0164801530001;30
14148;A0164801530001;30
141682;A0164801530001;30
151742;A0164801530001;30
165122;A0164801530001;30
165142;A0164801530001;30
165163;A0164801530001;30
165182;A0164801530001;30
165183;A0164801530001;30
165184;A0164801530001;30
165282;A0164801530001;30
16763;A0164801530001;30
16875;A0164801530001;30
169542;A0164801530001;30
170422;A0164801530001;30
17270;A0164801530001;30
17511;A0164801530001;30
176703;A0164801530001;30
18440;A0164801530001;30
188083;A0164801530001;30
190383;A0164801530001;30
190403;A0164801530001;30
19193;A0164801530001;30
20917;A0164801530001;30
29637;A0164801530001;30
29638;A0164801530001;30
300094;A0164801530001;30
300186;A0164801530001;30
300935;A0164801530001;30
300936;A0164801530001;30
301023;A0164801530001;30
301180;A0164801530001;30
301181;A0164801530001;30
301182;A0164801530001;30
301763;A0164801530001;30
43637;A0164801530001;30
46677;A0164801530001;30
47137;A0164801530001;30
47157;A0164801530001;30
47177;A0164801530001;30
53518;A0164801530001;30
54658;A0164801530001;30
54981;A0164801530001;30
59458;A0164801530001;30
60318;A0164801530001;30
61498;A0164801530001;30
61499;A0164801530001;30
66299;A0164801530001;30
78798;A0164801530001;30
ELDORADO;A0164801530001;30
10067;A0164801530002;30
10122;A0164801530002;30
10225;A0164801530002;30
10397;A0164801530002;30
12792;A0164801530002;30
14148;A0164801530002;30
141682;A0164801530002;30
151742;A0164801530002;30
165122;A0164801530002;30
165142;A0164801530002;30
165163;A0164801530002;30
165182;A0164801530002;30
165183;A0164801530002;30
165184;A0164801530002;30
165282;A0164801530002;30
16763;A0164801530002;30
16875;A0164801530002;30
169542;A0164801530002;30
170422;A0164801530002;30
17270;A0164801530002;30
17511;A0164801530002;30
176703;A0164801530002;30
18440;A0164801530002;30
188083;A0164801530002;30
190383;A0164801530002;30
190403;A0164801530002;30
19193;A0164801530002;30
20917;A0164801530002;30
29637;A0164801530002;30
29638;A0164801530002;30
300094;A0164801530002;30
300186;A0164801530002;30
300935;A0164801530002;30
300936;A0164801530002;30
301023;A0164801530002;30
301180;A0164801530002;30
301181;A0164801530002;30
301182;A0164801530002;30
301763;A0164801530002;30
43637;A0164801530002;30
46677;A0164801530002;30
47137;A0164801530002;30
47157;A0164801530002;30
47177;A0164801530002;30
53518;A0164801530002;30
54658;A0164801530002;30
54981;A0164801530002;30
59458;A0164801530002;30
60318;A0164801530002;30
61498;A0164801530002;30
61499;A0164801530002;30
66299;A0164801530002;30
78798;A0164801530002;30
ELDORADO;A0164801530002;30
10067;A0164801530003;30
10122;A0164801530003;30
10225;A0164801530003;30
10397;A0164801530003;30
12792;A0164801530003;30
14148;A0164801530003;30
141682;A0164801530003;30
151742;A0164801530003;30
165122;A0164801530003;30
165142;A0164801530003;30
165163;A0164801530003;30
165182;A0164801530003;30
165183;A0164801530003;30
165184;A0164801530003;30
165282;A0164801530003;30
16763;A0164801530003;30
16875;A0164801530003;30
169542;A0164801530003;30
170422;A0164801530003;30
17270;A0164801530003;30
17511;A0164801530003;30
176703;A0164801530003;30
18440;A0164801530003;30
188083;A0164801530003;30
190383;A0164801530003;30
190403;A0164801530003;30
19193;A0164801530003;30
20917;A0164801530003;30
29637;A0164801530003;30
29638;A0164801530003;30
300094;A0164801530003;30
300186;A0164801530003;30
300935;A0164801530003;30
300936;A0164801530003;30
301023;A0164801530003;30
301180;A0164801530003;30
301181;A0164801530003;30
301182;A0164801530003;30
301763;A0164801530003;30
43637;A0164801530003;30
46677;A0164801530003;30
47137;A0164801530003;30
47157;A0164801530003;30
47177;A0164801530003;30
53518;A0164801530003;30
54658;A0164801530003;30
54981;A0164801530003;30
59458;A0164801530003;30
60318;A0164801530003;30
61498;A0164801530003;30
61499;A0164801530003;30
66299;A0164801530003;30
78798;A0164801530003;30
ELDORADO;A0164801530003;30
10067;A0164801570001;30
10122;A0164801570001;30
10225;A0164801570001;30
10397;A0164801570001;30
12792;A0164801570001;30
14148;A0164801570001;30
141682;A0164801570001;30
151742;A0164801570001;30
165122;A0164801570001;30
165142;A0164801570001;30
165163;A0164801570001;30
165182;A0164801570001;30
165183;A0164801570001;30
165184;A0164801570001;30
165282;A0164801570001;30
16763;A0164801570001;30
16875;A0164801570001;30
169542;A0164801570001;30
170422;A0164801570001;30
17270;A0164801570001;30
17511;A0164801570001;30
176703;A0164801570001;30
18440;A0164801570001;30
188083;A0164801570001;30
190383;A0164801570001;30
190403;A0164801570001;30
19193;A0164801570001;30
20917;A0164801570001;30
29637;A0164801570001;30
29638;A0164801570001;30
300094;A0164801570001;30
300186;A0164801570001;30
300935;A0164801570001;30
300936;A0164801570001;30
301023;A0164801570001;30
301180;A0164801570001;30
301181;A0164801570001;30
301182;A0164801570001;30
301763;A0164801570001;30
43637;A0164801570001;30
46677;A0164801570001;30
47137;A0164801570001;30
47157;A0164801570001;30
47177;A0164801570001;30
53518;A0164801570001;30
54658;A0164801570001;30
54981;A0164801570001;30
59458;A0164801570001;30
60318;A0164801570001;30
61498;A0164801570001;30
61499;A0164801570001;30
66299;A0164801570001;30
78798;A0164801570001;30
ELDORADO;A0164801570001;30
10067;A0164801570002;30
10122;A0164801570002;30
10225;A0164801570002;30
10397;A0164801570002;30
12792;A0164801570002;30
14148;A0164801570002;30
141682;A0164801570002;30
151742;A0164801570002;30
165122;A0164801570002;30
165142;A0164801570002;30
165163;A0164801570002;30
165182;A0164801570002;30
165183;A0164801570002;30
165184;A0164801570002;30
165282;A0164801570002;30
16763;A0164801570002;30
16875;A0164801570002;30
169542;A0164801570002;30
170422;A0164801570002;30
17270;A0164801570002;30
17511;A0164801570002;30
176703;A0164801570002;30
18440;A0164801570002;30
188083;A0164801570002;30
190383;A0164801570002;30
190403;A0164801570002;30
19193;A0164801570002;30
20917;A0164801570002;30
29637;A0164801570002;30
29638;A0164801570002;30
300094;A0164801570002;30
300186;A0164801570002;30
300935;A0164801570002;30
300936;A0164801570002;30
301023;A0164801570002;30
301180;A0164801570002;30
301181;A0164801570002;30
301182;A0164801570002;30
301763;A0164801570002;30
43637;A0164801570002;30
46677;A0164801570002;30
47137;A0164801570002;30
47157;A0164801570002;30
47177;A0164801570002;30
53518;A0164801570002;30
54658;A0164801570002;30
54981;A0164801570002;30
59458;A0164801570002;30
60318;A0164801570002;30
61498;A0164801570002;30
61499;A0164801570002;30
66299;A0164801570002;30
78798;A0164801570002;30
ELDORADO;A0164801570002;30
10067;A0164863960037;30
10122;A0164863960037;30
10225;A0164863960037;30
10397;A0164863960037;30
12792;A0164863960037;30
14148;A0164863960037;30
141682;A0164863960037;30
151742;A0164863960037;30
165122;A0164863960037;30
165142;A0164863960037;30
165163;A0164863960037;30
165182;A0164863960037;30
165183;A0164863960037;30
165184;A0164863960037;30
165282;A0164863960037;30
16763;A0164863960037;30
16875;A0164863960037;30
169542;A0164863960037;30
170422;A0164863960037;30
17270;A0164863960037;30
17511;A0164863960037;30
176703;A0164863960037;30
18440;A0164863960037;30
188083;A0164863960037;30
190383;A0164863960037;30
190403;A0164863960037;30
19193;A0164863960037;30
20917;A0164863960037;30
29637;A0164863960037;30
29638;A0164863960037;30
300094;A0164863960037;30
300186;A0164863960037;30
300935;A0164863960037;30
300936;A0164863960037;30
301023;A0164863960037;30
301180;A0164863960037;30
301181;A0164863960037;30
301182;A0164863960037;30
301763;A0164863960037;30
43637;A0164863960037;30
46677;A0164863960037;30
47137;A0164863960037;30
47157;A0164863960037;30
47177;A0164863960037;30
53518;A0164863960037;30
54658;A0164863960037;30
54981;A0164863960037;30
59458;A0164863960037;30
60318;A0164863960037;30
61498;A0164863960037;30
61499;A0164863960037;30
66299;A0164863960037;30
78798;A0164863960037;30
ELDORADO;A0164863960037;30
10067;A0164863960195;30
10122;A0164863960195;30
10225;A0164863960195;30
10397;A0164863960195;30
12792;A0164863960195;30
14148;A0164863960195;30
141682;A0164863960195;30
151742;A0164863960195;30
165122;A0164863960195;30
165142;A0164863960195;30
165163;A0164863960195;30
165182;A0164863960195;30
165183;A0164863960195;30
165184;A0164863960195;30
165282;A0164863960195;30
16763;A0164863960195;30
16875;A0164863960195;30
169542;A0164863960195;30
170422;A0164863960195;30
17270;A0164863960195;30
17511;A0164863960195;30
176703;A0164863960195;30
18440;A0164863960195;30
188083;A0164863960195;30
190383;A0164863960195;30
190403;A0164863960195;30
19193;A0164863960195;30
20917;A0164863960195;30
29637;A0164863960195;30
29638;A0164863960195;30
300094;A0164863960195;30
300186;A0164863960195;30
300935;A0164863960195;30
300936;A0164863960195;30
301023;A0164863960195;30
301180;A0164863960195;30
301181;A0164863960195;30
301182;A0164863960195;30
301763;A0164863960195;30
43637;A0164863960195;30
46677;A0164863960195;30
47137;A0164863960195;30
47157;A0164863960195;30
47177;A0164863960195;30
53518;A0164863960195;30
54658;A0164863960195;30
54981;A0164863960195;30
59458;A0164863960195;30
60318;A0164863960195;30
61498;A0164863960195;30
61499;A0164863960195;30
66299;A0164863960195;30
78798;A0164863960195;30
ELDORADO;A0164863960195;30
10067;A0182005170002;30
10122;A0182005170002;30
10225;A0182005170002;30
10397;A0182005170002;30
12792;A0182005170002;30
14148;A0182005170002;30
141682;A0182005170002;30
151742;A0182005170002;30
165122;A0182005170002;30
165142;A0182005170002;30
165163;A0182005170002;30
165182;A0182005170002;30
165183;A0182005170002;30
165184;A0182005170002;30
165282;A0182005170002;30
16763;A0182005170002;30
16875;A0182005170002;30
169542;A0182005170002;30
170422;A0182005170002;30
17270;A0182005170002;30
17511;A0182005170002;30
176703;A0182005170002;30
18440;A0182005170002;30
188083;A0182005170002;30
190383;A0182005170002;30
190403;A0182005170002;30
19193;A0182005170002;30
20917;A0182005170002;30
29637;A0182005170002;30
29638;A0182005170002;30
300094;A0182005170002;30
300186;A0182005170002;30
300935;A0182005170002;30
300936;A0182005170002;30
301023;A0182005170002;30
301180;A0182005170002;30
301181;A0182005170002;30
301182;A0182005170002;30
301763;A0182005170002;30
43637;A0182005170002;30
46677;A0182005170002;30
47137;A0182005170002;30
47157;A0182005170002;30
47177;A0182005170002;30
53518;A0182005170002;30
54658;A0182005170002;30
54981;A0182005170002;30
59458;A0182005170002;30
60318;A0182005170002;30
61498;A0182005170002;30
61499;A0182005170002;30
66299;A0182005170002;30
78798;A0182005170002;30
ELDORADO;A0182005170002;30
10067;A0182005180002;30
10122;A0182005180002;30
10225;A0182005180002;30
10397;A0182005180002;30
12792;A0182005180002;30
14148;A0182005180002;30
141682;A0182005180002;30
151742;A0182005180002;30
165122;A0182005180002;30
165142;A0182005180002;30
165163;A0182005180002;30
165182;A0182005180002;30
165183;A0182005180002;30
165184;A0182005180002;30
165282;A0182005180002;30
16763;A0182005180002;30
16875;A0182005180002;30
169542;A0182005180002;30
170422;A0182005180002;30
17270;A0182005180002;30
17511;A0182005180002;30
176703;A0182005180002;30
18440;A0182005180002;30
188083;A0182005180002;30
190383;A0182005180002;30
190403;A0182005180002;30
19193;A0182005180002;30
20917;A0182005180002;30
29637;A0182005180002;30
29638;A0182005180002;30
300094;A0182005180002;30
300186;A0182005180002;30
300935;A0182005180002;30
300936;A0182005180002;30
301023;A0182005180002;30
301180;A0182005180002;30
301181;A0182005180002;30
301182;A0182005180002;30
301763;A0182005180002;30
43637;A0182005180002;30
46677;A0182005180002;30
47137;A0182005180002;30
47157;A0182005180002;30
47177;A0182005180002;30
53518;A0182005180002;30
54658;A0182005180002;30
54981;A0182005180002;30
59458;A0182005180002;30
60318;A0182005180002;30
61498;A0182005180002;30
61499;A0182005180002;30
66299;A0182005180002;30
78798;A0182005180002;30
ELDORADO;A0182005180002;30
10067;A0182005180003;30
10122;A0182005180003;30
10225;A0182005180003;30
10397;A0182005180003;30
12792;A0182005180003;30
14148;A0182005180003;30
141682;A0182005180003;30
151742;A0182005180003;30
165122;A0182005180003;30
165142;A0182005180003;30
165163;A0182005180003;30
165182;A0182005180003;30
165183;A0182005180003;30
165184;A0182005180003;30
165282;A0182005180003;30
16763;A0182005180003;30
16875;A0182005180003;30
169542;A0182005180003;30
170422;A0182005180003;30
17270;A0182005180003;30
17511;A0182005180003;30
176703;A0182005180003;30
18440;A0182005180003;30
188083;A0182005180003;30
190383;A0182005180003;30
190403;A0182005180003;30
19193;A0182005180003;30
20917;A0182005180003;30
29637;A0182005180003;30
29638;A0182005180003;30
300094;A0182005180003;30
300186;A0182005180003;30
300935;A0182005180003;30
300936;A0182005180003;30
301023;A0182005180003;30
301180;A0182005180003;30
301181;A0182005180003;30
301182;A0182005180003;30
301763;A0182005180003;30
43637;A0182005180003;30
46677;A0182005180003;30
47137;A0182005180003;30
47157;A0182005180003;30
47177;A0182005180003;30
53518;A0182005180003;30
54658;A0182005180003;30
54981;A0182005180003;30
59458;A0182005180003;30
60318;A0182005180003;30
61498;A0182005180003;30
61499;A0182005180003;30
66299;A0182005180003;30
78798;A0182005180003;30
ELDORADO;A0182005180003;30
10067;A0182005190001;30
10122;A0182005190001;30
10225;A0182005190001;30
10397;A0182005190001;30
12792;A0182005190001;30
14148;A0182005190001;30
141682;A0182005190001;30
151742;A0182005190001;30
165122;A0182005190001;30
165142;A0182005190001;30
165163;A0182005190001;30
165182;A0182005190001;30
165183;A0182005190001;30
165184;A0182005190001;30
165282;A0182005190001;30
16763;A0182005190001;30
16875;A0182005190001;30
169542;A0182005190001;30
170422;A0182005190001;30
17270;A0182005190001;30
17511;A0182005190001;30
176703;A0182005190001;30
18440;A0182005190001;30
188083;A0182005190001;30
190383;A0182005190001;30
190403;A0182005190001;30
19193;A0182005190001;30
20917;A0182005190001;30
29637;A0182005190001;30
29638;A0182005190001;30
300094;A0182005190001;30
300186;A0182005190001;30
300935;A0182005190001;30
300936;A0182005190001;30
301023;A0182005190001;30
301180;A0182005190001;30
301181;A0182005190001;30
301182;A0182005190001;30
301763;A0182005190001;30
43637;A0182005190001;30
46677;A0182005190001;30
47137;A0182005190001;30
47157;A0182005190001;30
47177;A0182005190001;30
53518;A0182005190001;30
54658;A0182005190001;30
54981;A0182005190001;30
59458;A0182005190001;30
60318;A0182005190001;30
61498;A0182005190001;30
61499;A0182005190001;30
66299;A0182005190001;30
78798;A0182005190001;30
ELDORADO;A0182005190001;30
10067;A0182005190002;30
10122;A0182005190002;30
10225;A0182005190002;30
10397;A0182005190002;30
12792;A0182005190002;30
14148;A0182005190002;30
141682;A0182005190002;30
151742;A0182005190002;30
165122;A0182005190002;30
165142;A0182005190002;30
165163;A0182005190002;30
165182;A0182005190002;30
165183;A0182005190002;30
165184;A0182005190002;30
165282;A0182005190002;30
16763;A0182005190002;30
16875;A0182005190002;30
169542;A0182005190002;30
170422;A0182005190002;30
17270;A0182005190002;30
17511;A0182005190002;30
176703;A0182005190002;30
18440;A0182005190002;30
188083;A0182005190002;30
190383;A0182005190002;30
190403;A0182005190002;30
19193;A0182005190002;30
20917;A0182005190002;30
29637;A0182005190002;30
29638;A0182005190002;30
300094;A0182005190002;30
300186;A0182005190002;30
300935;A0182005190002;30
300936;A0182005190002;30
301023;A0182005190002;30
301180;A0182005190002;30
301181;A0182005190002;30
301182;A0182005190002;30
301763;A0182005190002;30
43637;A0182005190002;30
46677;A0182005190002;30
47137;A0182005190002;30
47157;A0182005190002;30
47177;A0182005190002;30
53518;A0182005190002;30
54658;A0182005190002;30
54981;A0182005190002;30
59458;A0182005190002;30
60318;A0182005190002;30
61498;A0182005190002;30
61499;A0182005190002;30
66299;A0182005190002;30
78798;A0182005190002;30
ELDORADO;A0182005190002;30
10067;A0182005220001;30
10122;A0182005220001;30
10225;A0182005220001;30
10397;A0182005220001;30
12792;A0182005220001;30
14148;A0182005220001;30
141682;A0182005220001;30
151742;A0182005220001;30
165122;A0182005220001;30
165142;A0182005220001;30
165163;A0182005220001;30
165182;A0182005220001;30
165183;A0182005220001;30
165184;A0182005220001;30
165282;A0182005220001;30
16763;A0182005220001;30
16875;A0182005220001;30
169542;A0182005220001;30
170422;A0182005220001;30
17270;A0182005220001;30
17511;A0182005220001;30
176703;A0182005220001;30
18440;A0182005220001;30
188083;A0182005220001;30
190383;A0182005220001;30
190403;A0182005220001;30
19193;A0182005220001;30
20917;A0182005220001;30
29637;A0182005220001;30
29638;A0182005220001;30
300094;A0182005220001;30
300186;A0182005220001;30
300935;A0182005220001;30
300936;A0182005220001;30
301023;A0182005220001;30
301180;A0182005220001;30
301181;A0182005220001;30
301182;A0182005220001;30
301763;A0182005220001;30
43637;A0182005220001;30
46677;A0182005220001;30
47137;A0182005220001;30
47157;A0182005220001;30
47177;A0182005220001;30
53518;A0182005220001;30
54658;A0182005220001;30
54981;A0182005220001;30
59458;A0182005220001;30
60318;A0182005220001;30
61498;A0182005220001;30
61499;A0182005220001;30
66299;A0182005220001;30
78798;A0182005220001;30
ELDORADO;A0182005220001;30
10067;A0182005220002;30
10122;A0182005220002;30
10225;A0182005220002;30
10397;A0182005220002;30
12792;A0182005220002;30
14148;A0182005220002;30
141682;A0182005220002;30
151742;A0182005220002;30
165122;A0182005220002;30
165142;A0182005220002;30
165163;A0182005220002;30
165182;A0182005220002;30
165183;A0182005220002;30
165184;A0182005220002;30
165282;A0182005220002;30
16763;A0182005220002;30
16875;A0182005220002;30
169542;A0182005220002;30
170422;A0182005220002;30
17270;A0182005220002;30
17511;A0182005220002;30
176703;A0182005220002;30
18440;A0182005220002;30
188083;A0182005220002;30
190383;A0182005220002;30
190403;A0182005220002;30
19193;A0182005220002;30
20917;A0182005220002;30
29637;A0182005220002;30
29638;A0182005220002;30
300094;A0182005220002;30
300186;A0182005220002;30
300935;A0182005220002;30
300936;A0182005220002;30
301023;A0182005220002;30
301180;A0182005220002;30
301181;A0182005220002;30
301182;A0182005220002;30
301763;A0182005220002;30
43637;A0182005220002;30
46677;A0182005220002;30
47137;A0182005220002;30
47157;A0182005220002;30
47177;A0182005220002;30
53518;A0182005220002;30
54658;A0182005220002;30
54981;A0182005220002;30
59458;A0182005220002;30
60318;A0182005220002;30
61498;A0182005220002;30
61499;A0182005220002;30
66299;A0182005220002;30
78798;A0182005220002;30
ELDORADO;A0182005220002;30
10067;A0182005220003;30
10122;A0182005220003;30
10225;A0182005220003;30
10397;A0182005220003;30
12792;A0182005220003;30
14148;A0182005220003;30
141682;A0182005220003;30
151742;A0182005220003;30
165122;A0182005220003;30
165142;A0182005220003;30
165163;A0182005220003;30
165182;A0182005220003;30
165183;A0182005220003;30
165184;A0182005220003;30
165282;A0182005220003;30
16763;A0182005220003;30
16875;A0182005220003;30
169542;A0182005220003;30
170422;A0182005220003;30
17270;A0182005220003;30
17511;A0182005220003;30
176703;A0182005220003;30
18440;A0182005220003;30
188083;A0182005220003;30
190383;A0182005220003;30
190403;A0182005220003;30
19193;A0182005220003;30
20917;A0182005220003;30
29637;A0182005220003;30
29638;A0182005220003;30
300094;A0182005220003;30
300186;A0182005220003;30
300935;A0182005220003;30
300936;A0182005220003;30
301023;A0182005220003;30
301180;A0182005220003;30
301181;A0182005220003;30
301182;A0182005220003;30
301763;A0182005220003;30
43637;A0182005220003;30
46677;A0182005220003;30
47137;A0182005220003;30
47157;A0182005220003;30
47177;A0182005220003;30
53518;A0182005220003;30
54658;A0182005220003;30
54981;A0182005220003;30
59458;A0182005220003;30
60318;A0182005220003;30
61498;A0182005220003;30
61499;A0182005220003;30
66299;A0182005220003;30
78798;A0182005220003;30
ELDORADO;A0182005220003;30
10067;A0182005240002;30
10122;A0182005240002;30
10225;A0182005240002;30
10397;A0182005240002;30
12792;A0182005240002;30
14148;A0182005240002;30
141682;A0182005240002;30
151742;A0182005240002;30
165122;A0182005240002;30
165142;A0182005240002;30
165163;A0182005240002;30
165182;A0182005240002;30
165183;A0182005240002;30
165184;A0182005240002;30
165282;A0182005240002;30
16763;A0182005240002;30
16875;A0182005240002;30
169542;A0182005240002;30
170422;A0182005240002;30
17270;A0182005240002;30
17511;A0182005240002;30
176703;A0182005240002;30
18440;A0182005240002;30
188083;A0182005240002;30
190383;A0182005240002;30
190403;A0182005240002;30
19193;A0182005240002;30
20917;A0182005240002;30
29637;A0182005240002;30
29638;A0182005240002;30
300094;A0182005240002;30
300186;A0182005240002;30
300935;A0182005240002;30
300936;A0182005240002;30
301023;A0182005240002;30
301180;A0182005240002;30
301181;A0182005240002;30
301182;A0182005240002;30
301763;A0182005240002;30
43637;A0182005240002;30
46677;A0182005240002;30
47137;A0182005240002;30
47157;A0182005240002;30
47177;A0182005240002;30
53518;A0182005240002;30
54658;A0182005240002;30
54981;A0182005240002;30
59458;A0182005240002;30
60318;A0182005240002;30
61498;A0182005240002;30
61499;A0182005240002;30
66299;A0182005240002;30
78798;A0182005240002;30
ELDORADO;A0182005240002;30
10067;A0182005240003;30
10122;A0182005240003;30
10225;A0182005240003;30
10397;A0182005240003;30
12792;A0182005240003;30
14148;A0182005240003;30
141682;A0182005240003;30
151742;A0182005240003;30
165122;A0182005240003;30
165142;A0182005240003;30
165163;A0182005240003;30
165182;A0182005240003;30
165183;A0182005240003;30
165184;A0182005240003;30
165282;A0182005240003;30
16763;A0182005240003;30
16875;A0182005240003;30
169542;A0182005240003;30
170422;A0182005240003;30
17270;A0182005240003;30
17511;A0182005240003;30
176703;A0182005240003;30
18440;A0182005240003;30
188083;A0182005240003;30
190383;A0182005240003;30
190403;A0182005240003;30
19193;A0182005240003;30
20917;A0182005240003;30
29637;A0182005240003;30
29638;A0182005240003;30
300094;A0182005240003;30
300186;A0182005240003;30
300935;A0182005240003;30
300936;A0182005240003;30
301023;A0182005240003;30
301180;A0182005240003;30
301181;A0182005240003;30
301182;A0182005240003;30
301763;A0182005240003;30
43637;A0182005240003;30
46677;A0182005240003;30
47137;A0182005240003;30
47157;A0182005240003;30
47177;A0182005240003;30
53518;A0182005240003;30
54658;A0182005240003;30
54981;A0182005240003;30
59458;A0182005240003;30
60318;A0182005240003;30
61498;A0182005240003;30
61499;A0182005240003;30
66299;A0182005240003;30
78798;A0182005240003;30
ELDORADO;A0182005240003;30
10067;A0182005240004;30
10122;A0182005240004;30
10225;A0182005240004;30
10397;A0182005240004;30
12792;A0182005240004;30
14148;A0182005240004;30
141682;A0182005240004;30
151742;A0182005240004;30
165122;A0182005240004;30
165142;A0182005240004;30
165163;A0182005240004;30
165182;A0182005240004;30
165183;A0182005240004;30
165184;A0182005240004;30
165282;A0182005240004;30
16763;A0182005240004;30
16875;A0182005240004;30
169542;A0182005240004;30
170422;A0182005240004;30
17270;A0182005240004;30
17511;A0182005240004;30
